step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
102,C846596637,2,M,28007,M348934600,28007,transportation,36.43,0
102,C806399525,2,F,28007,M1053599405,28007,health,20.91,0
102,C99594781,2,F,28007,M1823072687,28007,transportation,1.5,0
102,C1449000407,2,M,28007,M1823072687,28007,transportation,9.69,0
102,C2113737065,2,F,28007,M980657600,28007,sportsandtoys,226.36,1
102,C1738944491,2,M,28007,M348934600,28007,transportation,41.04,0
102,C1857873865,2,F,28007,M85975013,28007,food,5.68,0
102,C1045214627,2,F,28007,M1823072687,28007,transportation,2.29,0
102,C2058916086,2,F,28007,M348934600,28007,transportation,30.88,0
102,C1676378077,2,F,28007,M348934600,28007,transportation,3.57,0
102,C1039748502,2,F,28007,M348934600,28007,transportation,21.25,0
102,C1385406679,2,M,28007,M348934600,28007,transportation,28.61,0
102,C1338932459,2,M,28007,M1823072687,28007,transportation,24.27,0
102,C743934970,2,F,28007,M348934600,28007,transportation,32.31,0
102,C897057254,2,F,28007,M1823072687,28007,transportation,4.06,0
102,C1927849279,2,F,28007,M348934600,28007,transportation,49.46,0
102,C2100825064,2,F,28007,M1823072687,28007,transportation,8.75,0
102,C756645719,2,F,28007,M151143676,28007,barsandrestaurants,12.28,0
102,C83651461,2,F,28007,M348934600,28007,transportation,32.87,0
102,C1646298550,2,F,28007,M1823072687,28007,transportation,15.35,0
102,C1911281701,2,M,28007,M348934600,28007,transportation,7.32,0
102,C295094185,2,M,28007,M348934600,28007,transportation,70.56,0
102,C809674942,2,M,28007,M348934600,28007,transportation,34.7,0
102,C475624028,2,M,28007,M348934600,28007,transportation,5.26,0
102,C1597977404,2,F,28007,M1823072687,28007,transportation,35.48,0
102,C893276958,2,M,28007,M1294758098,28007,leisure,297.78,1
102,C761606185,2,M,28007,M1294758098,28007,leisure,343.81,1
102,C2043927860,2,M,28007,M1823072687,28007,transportation,26.31,0
102,C1100510913,2,M,28007,M1823072687,28007,transportation,11.98,0
102,C1622415837,2,F,28007,M348934600,28007,transportation,3.44,0
102,C90150703,2,F,28007,M348934600,28007,transportation,22.09,0
102,C2110568911,2,F,28007,M348934600,28007,transportation,27.56,0
102,C100992504,2,F,28007,M1823072687,28007,transportation,3.27,0
102,C1707421914,2,M,28007,M1823072687,28007,transportation,55.64,0
102,C1327677398,2,M,28007,M1823072687,28007,transportation,0.42,0
102,C1237272991,2,F,28007,M348934600,28007,transportation,29.26,0
102,C1377339988,2,M,28007,M348934600,28007,transportation,37.7,0
102,C1848884864,2,F,28007,M1823072687,28007,transportation,49.31,0
103,C2134625729,2,F,28007,M348934600,28007,transportation,44.82,0
103,C1386324281,2,M,28007,M348934600,28007,transportation,25.02,0
103,C1956908177,2,M,28007,M1823072687,28007,transportation,19.75,0
103,C1940951230,2,F,28007,M1823072687,28007,transportation,22.35,0
103,C574062699,2,M,28007,M1823072687,28007,transportation,48.15,0
103,C1517749848,2,F,28007,M349281107,28007,fashion,97.29,0
103,C1087227796,2,M,28007,M348934600,28007,transportation,3.66,0
103,C1920498287,2,M,28007,M348934600,28007,transportation,1.84,0
103,C2112563194,2,F,28007,M1823072687,28007,transportation,43.12,0
103,C1209838312,2,M,28007,M151143676,28007,barsandrestaurants,92.53,0
103,C1107442215,2,F,28007,M1823072687,28007,transportation,30.89,0
103,C191366309,2,F,28007,M348934600,28007,transportation,14.56,0
103,C1420354861,2,F,28007,M1823072687,28007,transportation,44.73,0
103,C1567160901,2,F,28007,M1823072687,28007,transportation,8.34,0
103,C200511130,2,M,28007,M1823072687,28007,transportation,6.72,0
103,C1911281701,2,M,28007,M348934600,28007,transportation,26.94,0
103,C1622415837,2,F,28007,M209847108,28007,wellnessandbeauty,48.0,0
103,C1986046665,2,F,28007,M1823072687,28007,transportation,21.95,0
103,C1490416909,2,F,28007,M1823072687,28007,transportation,28.71,0
103,C1128965136,2,F,28007,M1823072687,28007,transportation,10.94,0
103,C2094120486,2,M,28007,M348934600,28007,transportation,55.25,0
103,C1848884864,2,F,28007,M1823072687,28007,transportation,44.31,0
103,C1960639712,2,F,28007,M1823072687,28007,transportation,13.61,0
103,C59912595,2,F,28007,M1053599405,28007,health,197.71,0
103,C83651461,2,F,28007,M348934600,28007,transportation,28.65,0
103,C1214828746,2,F,28007,M348934600,28007,transportation,17.34,0
103,C1708732499,2,M,28007,M1823072687,28007,transportation,30.5,0
103,C492776916,2,M,28007,M1053599405,28007,health,98.51,0
103,C492776916,2,M,28007,M1913465890,28007,health,21.39,0
103,C1818841328,2,M,28007,M1823072687,28007,transportation,0.35,0
103,C174977934,2,F,28007,M1823072687,28007,transportation,26.97,0
103,C684153556,2,F,28007,M85975013,28007,food,2.09,0
103,C1850870588,2,M,28007,M348934600,28007,transportation,38.04,0
103,C1214628974,2,F,28007,M1823072687,28007,transportation,45.75,0
103,C1733778992,2,F,28007,M17379832,28007,sportsandtoys,28.63,0
103,C518028573,2,M,28007,M348934600,28007,transportation,16.21,0
103,C1030484150,2,F,28007,M348934600,28007,transportation,17.35,0
103,C782199851,2,F,28007,M1823072687,28007,transportation,34.9,0
103,C707234445,2,M,28007,M85975013,28007,food,2.22,0
103,C480975116,2,M,28007,M348934600,28007,transportation,56.43,0
103,C1039748502,2,F,28007,M348934600,28007,transportation,0.87,0
103,C351144071,2,M,28007,M348934600,28007,transportation,11.28,0
103,C370861553,2,M,28007,M348934600,28007,transportation,35.51,0
103,C722887134,2,M,28007,M1053599405,28007,health,136.09,0
103,C722887134,2,M,28007,M1913465890,28007,health,2.18,0
103,C2068909690,2,F,28007,M1823072687,28007,transportation,35.11,0
103,C494777408,2,M,28007,M1823072687,28007,transportation,15.07,0
103,C1007790716,2,M,28007,M1823072687,28007,transportation,10.79,0
103,C1817318774,2,F,28007,M980657600,28007,sportsandtoys,95.25,0
103,C1817318774,2,F,28007,M933210764,28007,sportsandtoys,125.08,0
103,C964635168,2,F,28007,M348934600,28007,transportation,1.59,0
103,C775363285,2,F,28007,M348934600,28007,transportation,7.88,0
103,C1771717627,2,F,28007,M1823072687,28007,transportation,18.77,0
103,C1282114843,2,F,28007,M348934600,28007,transportation,16.87,0
103,C1923131377,2,F,28007,M1823072687,28007,transportation,43.06,0
103,C388262831,2,F,28007,M348934600,28007,transportation,7.4,0
103,C419087520,2,M,28007,M151143676,28007,barsandrestaurants,27.33,0
