step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
10,C944634193,5,F,28007,M348934600,28007,transportation,33.73,0
10,C345742557,5,F,28007,M1823072687,28007,transportation,40.17,0
10,C27152267,5,F,28007,M348934600,28007,transportation,17.31,0
10,C1584366693,5,F,28007,M348934600,28007,transportation,0.93,0
10,C612045723,5,F,28007,M348934600,28007,transportation,11.09,0
10,C1732307957,5,F,28007,M1823072687,28007,transportation,47.41,0
10,C164104645,5,F,28007,M1823072687,28007,transportation,10.68,0
10,C1234470601,5,M,28007,M348934600,28007,transportation,49.81,0
10,C1798653291,5,M,28007,M348934600,28007,transportation,29.15,0
10,C327430270,5,F,28007,M348934600,28007,transportation,42.39,0
10,C1648096390,5,M,28007,M348934600,28007,transportation,20.17,0
10,C1136643517,5,M,28007,M348934600,28007,transportation,26.6,0
10,C1154631581,5,M,28007,M348934600,28007,transportation,38.25,0
10,C469059843,5,F,28007,M348934600,28007,transportation,6.79,0
10,C1258454385,5,M,28007,M1823072687,28007,transportation,27.7,0
10,C1117403153,5,F,28007,M209847108,28007,wellnessandbeauty,22.18,0
10,C1484585237,5,M,28007,M348934600,28007,transportation,17.15,0
10,C750572020,5,M,28007,M348934600,28007,transportation,31.75,0
10,C1263461120,5,M,28007,M348934600,28007,transportation,15.71,0
10,C446179646,5,F,28007,M348934600,28007,transportation,11.55,0
10,C1484573422,5,M,28007,M1600850729,28007,fashion,56.5,0
10,C1599273075,5,M,28007,M1823072687,28007,transportation,43.81,0
10,C182918114,5,F,28007,M480139044,28007,health,156.76,0
10,C2137070408,5,M,28007,M1823072687,28007,transportation,15.71,0
10,C456338836,5,F,28007,M348934600,28007,transportation,26.93,0
10,C88392294,5,M,28007,M348934600,28007,transportation,5.82,0
10,C1909173090,5,F,28007,M348934600,28007,transportation,7.14,0
10,C2016890783,5,F,28007,M348934600,28007,transportation,9.56,0
10,C1134994937,5,M,28007,M85975013,28007,food,17.51,0
10,C1482560016,5,M,28007,M348934600,28007,transportation,7.87,0
10,C626836922,5,F,28007,M348934600,28007,transportation,0.47,0
10,C2027052970,5,M,28007,M348934600,28007,transportation,28.54,0
10,C1701338775,5,F,28007,M1823072687,28007,transportation,57.77,0
10,C1580753738,5,M,28007,M1198415165,28007,wellnessandbeauty,95.84,0
10,C347453747,5,F,28007,M348934600,28007,transportation,39.66,0
10,C1225717157,5,M,28007,M348934600,28007,transportation,45.65,0
10,C1129111658,5,F,28007,M348934600,28007,transportation,9.14,0
10,C1943207086,5,F,28007,M348934600,28007,transportation,43.85,0
10,C138375181,5,F,28007,M1823072687,28007,transportation,1.91,0
10,C106397937,5,M,28007,M151143676,28007,barsandrestaurants,34.81,0
10,C1781953799,5,M,28007,M1649169323,28007,sportsandtoys,1.89,0
10,C936786093,5,F,28007,M348934600,28007,transportation,52.81,0
10,C970603000,5,M,28007,M348934600,28007,transportation,44.67,0
10,C1321889892,5,M,28007,M348934600,28007,transportation,27.48,0
10,C965952231,5,M,28007,M348934600,28007,transportation,0.29,0
10,C1035581047,5,M,28007,M1823072687,28007,transportation,68.33,0
10,C2127479268,5,F,28007,M348934600,28007,transportation,34.02,0
10,C479535332,5,F,28007,M348934600,28007,transportation,54.44,0
10,C1913044357,5,F,28007,M855959430,28007,hyper,55.25,0
10,C332239974,5,M,28007,M1823072687,28007,transportation,26.57,0
10,C995844287,5,F,28007,M348934600,28007,transportation,30.97,0
10,C1940215857,5,M,28007,M1823072687,28007,transportation,23.24,0
10,C1723242462,5,M,28007,M1823072687,28007,transportation,29.56,0
10,C332727422,5,M,28007,M85975013,28007,food,26.23,0
10,C1151799720,5,M,28007,M348934600,28007,transportation,20.93,0
10,C1993791093,5,M,28007,M348934600,28007,transportation,1.7,0
10,C470079617,5,F,28007,M348934600,28007,transportation,26.64,0
10,C1803364571,5,M,28007,M348934600,28007,transportation,50.62,0
10,C143836998,5,F,28007,M1823072687,28007,transportation,28.2,0
10,C631654729,5,F,28007,M1823072687,28007,transportation,81.1,0
10,C823379702,5,M,28007,M348934600,28007,transportation,13.3,0
10,C777863522,5,F,28007,M85975013,28007,food,32.25,0
10,C1238185596,5,M,28007,M348934600,28007,transportation,32.16,0
10,C848293063,5,F,28007,M348934600,28007,transportation,5.54,0
10,C1275518867,5,F,28007,M732195782,28007,travel,2846.67,1
10,C967109509,5,M,28007,M1823072687,28007,transportation,39.77,0
10,C819978438,5,F,28007,M1823072687,28007,transportation,16.98,0
10,C1501782229,5,F,28007,M1823072687,28007,transportation,5.28,0
10,C1698214137,5,F,28007,M85975013,28007,food,11.36,0
10,C712367267,5,F,28007,M1823072687,28007,transportation,20.55,0
10,C1360225709,5,F,28007,M1823072687,28007,transportation,16.24,0
10,C1735726583,5,M,28007,M348934600,28007,transportation,5.9,0
10,C1356412685,5,M,28007,M348934600,28007,transportation,2.51,0
10,C1869142879,5,F,28007,M348934600,28007,transportation,14.45,0
10,C155412783,5,F,28007,M1313686961,28007,contents,66.26,0
10,C592679392,5,M,28007,M348934600,28007,transportation,4.1,0
10,C1965017830,5,M,28007,M348934600,28007,transportation,35.2,0
10,C1092769857,5,F,28007,M1823072687,28007,transportation,5.4,0
10,C439601438,5,F,28007,M348934600,28007,transportation,20.45,0
10,C728864298,5,M,28007,M1053599405,28007,health,80.71,0
10,C461156176,5,F,28007,M348934600,28007,transportation,26.95,0
10,C1519265307,5,F,28007,M348934600,28007,transportation,13.99,0
10,C476313806,5,F,28007,M348934600,28007,transportation,41.22,0
10,C1704116821,5,M,28007,M348934600,28007,transportation,66.83,0
10,C1374422827,5,M,28007,M151143676,28007,barsandrestaurants,22.78,0
10,C1862169273,5,F,28007,M1823072687,28007,transportation,26.34,0
10,C1613579866,5,M,28007,M348934600,28007,transportation,1.75,0
10,C344209010,5,F,28007,M209847108,28007,wellnessandbeauty,59.39,0
10,C1499363341,5,M,28007,M348934600,28007,transportation,4.85,0
10,C1619755203,5,F,28007,M348934600,28007,transportation,46.22,0
10,C290487175,5,M,28007,M1823072687,28007,transportation,38.94,0
10,C1508025585,5,F,28007,M348934600,28007,transportation,50.63,0
10,C1904086644,5,F,28007,M348934600,28007,transportation,53.68,0
10,C1987405562,5,F,28007,M1823072687,28007,transportation,27.29,0
10,C206074131,5,F,28007,M348934600,28007,transportation,19.73,0
10,C1934886086,5,M,28007,M348934600,28007,transportation,43.0,0
10,C1975714155,5,F,28007,M1823072687,28007,transportation,36.75,0
