step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount
178,C546957379,5,M,28007,M348934600,28007,transportation,35.5
178,C1613579866,5,M,28007,M1823072687,28007,transportation,57.01
178,C1133451243,5,M,28007,M1823072687,28007,transportation,18.16
178,C936786093,5,F,28007,M1823072687,28007,transportation,43.1
179,C1004109477,5,F,28007,M1823072687,28007,transportation,2.89
179,C1096642744,5,M,28007,M1823072687,28007,transportation,8.7
179,C785603838,5,M,28007,M1823072687,28007,transportation,44.02
179,C341886098,5,M,28007,M1823072687,28007,transportation,13.74
179,C521129957,5,M,28007,M1823072687,28007,transportation,49.79
179,C393216567,5,F,28007,M1823072687,28007,transportation,29.17
179,C1299496226,5,F,28007,M1823072687,28007,transportation,48.86
179,C1648492699,5,F,28007,M348934600,28007,transportation,15.2
179,C476313806,5,F,28007,M348934600,28007,transportation,60.25
179,C586511331,5,F,28007,M1823072687,28007,transportation,9.19
179,C1214964999,5,F,28007,M348934600,28007,transportation,43.14
179,C1641760998,5,F,28007,M1823072687,28007,transportation,15.21
179,C1199849921,5,M,28007,M1823072687,28007,transportation,15.21
179,C848293063,5,F,28007,M1823072687,28007,transportation,32.73
179,C1993791093,5,M,28007,M348934600,28007,transportation,26.06
179,C834963773,5,F,28007,M1823072687,28007,transportation,24.47
179,C759236361,5,M,28007,M348934600,28007,transportation,1.32
179,C169255115,5,M,28007,M348934600,28007,transportation,27.22
179,C232517457,5,F,28007,M1823072687,28007,transportation,24.87
179,C1254064510,5,F,28007,M1823072687,28007,transportation,10.32
179,C1909173090,5,F,28007,M348934600,28007,transportation,6.44
179,C1273885837,5,F,28007,M1823072687,28007,transportation,8.97
179,C2127479268,5,F,28007,M1823072687,28007,transportation,52.75
179,C1435043122,5,M,28007,M1823072687,28007,transportation,49.03
179,C1508025585,5,F,28007,M1823072687,28007,transportation,23.27
179,C644344959,5,M,28007,M1823072687,28007,transportation,2.75
179,C1163804561,5,F,28007,M348934600,28007,transportation,32
179,C1701338775,5,F,28007,M1823072687,28007,transportation,4.31
179,C1723242462,5,M,28007,M348934600,28007,transportation,2.03
179,C1506066038,5,M,28007,M85975013,28007,food,123.59
179,C1750362802,5,M,28007,M1823072687,28007,transportation,43.73
179,C1113166893,5,F,28007,M1823072687,28007,transportation,16.56
179,C819690995,5,F,28007,M1823072687,28007,transportation,11.89
179,C444370508,5,F,28007,M1823072687,28007,transportation,47.31
179,C1475486134,5,M,28007,M1823072687,28007,transportation,6.65
179,C1728997564,5,F,28007,M348934600,28007,transportation,61.64
179,C777863522,5,F,28007,M1823072687,28007,transportation,3.5
179,C24198147,5,M,28007,M855959430,28007,hyper,20.66
179,C757503768,5,M,28007,M1535107174,28007,wellnessandbeauty,59.55
179,C1642374729,5,F,28007,M1823072687,28007,transportation,12.86
179,C1170049298,5,F,28007,M1823072687,28007,transportation,48.79
179,C1017941602,5,M,28007,M2122776122,28007,home,1132.01
179,C1940215857,5,M,28007,M85975013,28007,food,91.91
179,C1484573422,5,M,28007,M348934600,28007,transportation,28.27
179,C764316727,5,F,28007,M1823072687,28007,transportation,21.4
179,C2112751068,5,F,28007,M151143676,28007,barsandrestaurants,20.82
179,C696720817,5,F,28007,M1823072687,28007,transportation,19.67
179,C944634193,5,F,28007,M1823072687,28007,transportation,38.72
179,C928479694,5,M,28007,M348934600,28007,transportation,17.54
179,C1501156188,5,F,28007,M1823072687,28007,transportation,15.66
179,C684162308,5,F,28007,M1823072687,28007,transportation,20.08
179,C1943207086,5,F,28007,M1823072687,28007,transportation,60.08
179,C668289079,5,F,28007,M85975013,28007,food,74.99
179,C1729635847,5,F,28007,M1823072687,28007,transportation,10.82
179,C1931900243,5,F,28007,M1823072687,28007,transportation,11.18
179,C898690183,5,F,28007,M1823072687,28007,transportation,25.05
179,C869565327,5,F,28007,M1823072687,28007,transportation,22.89
179,C347453747,5,F,28007,M1823072687,28007,transportation,0.34
179,C1506293914,5,M,28007,M1823072687,28007,transportation,35.01
179,C1890779401,5,F,28007,M1823072687,28007,transportation,16.68
179,C1602614455,5,M,28007,M1823072687,28007,transportation,31.48
179,C432449092,5,M,28007,M1823072687,28007,transportation,17.57
179,C1496962993,5,F,28007,M348934600,28007,transportation,32.28
179,C655866157,5,M,28007,M348934600,28007,transportation,5.81
179,C936786093,5,F,28007,M1823072687,28007,transportation,21.35
179,C1971736578,5,F,28007,M1823072687,28007,transportation,27.66
179,C1014313887,5,F,28007,M1823072687,28007,transportation,26.84
179,C994739890,5,M,28007,M1823072687,28007,transportation,3.27
179,C1414374774,5,M,28007,M348934600,28007,transportation,55.07
179,C1584366693,5,F,28007,M1823072687,28007,transportation,8.22
179,C299068475,5,F,28007,M1823072687,28007,transportation,57.1
179,C1704116821,5,M,28007,M1823072687,28007,transportation,33.86
179,C1651395634,5,M,28007,M1823072687,28007,transportation,20.01
179,C985141335,5,F,28007,M1823072687,28007,transportation,17.43
179,C967109509,5,M,28007,M1823072687,28007,transportation,20.98
179,C747175090,5,F,28007,M1823072687,28007,transportation,24.78
179,C1263461120,5,M,28007,M1823072687,28007,transportation,44.98
