step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud,transaction_id
6745,C000001,24,F,52667,Store A,31185,Clothing,275.79,0,fb78711b-f0fe-4dc4-84c2-baeb934e3301
1042,C000002,53,F,39980,Store B,74889,Electronics,427.69,0,7c0db9f1-497d-4843-898c-cc14c159fa29
4716,C000003,33,F,33808,Store C,33406,Luxury,9363.81,1,95bfaed7-4b76-44cc-8f08-c2428ff3f3ef
1395,C000004,31,M,73470,Store D,71630,Electronics,100.27,0,d2f8121a-f808-4fdb-a326-521b215c3369
2870,C000005,33,F,82762,Store E,59054,Dining,215.88,0,bed4b6e1-1b3e-4e26-8a23-7818ee1691e8
3677,C000006,42,F,97983,Store F,60840,Utilities,643.76,0,c03f2773-bdc1-4b25-9869-5079264d022f
3722,C000007,58,F,27926,Store G,19046,Travel,8347.74,1,abab3638-c72e-4a28-86f4-23fbf1dcb783
5691,C000008,21,M,27621,Store H,62495,Dining,651.19,0,bbed23af-6ffd-4e96-9f9b-7fc2681314e4
5819,C000009,46,M,21167,Store I,50579,Clothing,109.08,0,8365b0f0-c91d-480e-a9cb-b303e6ef873a
235,C000010,80,F,81245,Store J,69821,Jewelry,5628.15,1,d1d0b7b0-df1f-4981-8c23-cbaf768c6dd0
3141,C000011,73,F,88776,Store K,86668,Clothing,862.95,0,05a95e18-4b14-4864-8f48-e00851b1f960
8639,C000012,23,M,45031,Store L,44175,Electronics,762.43,0,33e14907-213d-40e9-94f3-e3a93ad5bb67
8200,C000013,18,M,42146,Store M,19012,Groceries,669.37,0,45db814a-2870-4a65-bb58-d517feaefbf3
1000,C000014,80,M,17998,Store N,17030,Electronics,40.59,0,0bcd4e29-63ac-4374-8bef-5ad9ef8afc94
1335,C000015,56,M,50508,Store O,96450,Dining,246.96,0,c3aefe07-4696-4529-812c-a16520da7462
8326,C000016,18,F,86348,Store P,83464,Clothing,814.19,0,07f8d1c9-15d0-4302-9183-36460c52cb13
8248,C000017,68,M,41101,Store Q,22027,Jewelry,7170.01,1,5b088218-c773-4507-8110-21e09b0dc67f
5089,C000018,57,F,89764,Store R,81742,Groceries,814.72,0,5a99ddfa-6638-4512-8266-c279efa44008
5480,C000019,80,F,34747,Store S,28565,Utilities,588.39,0,1c593915-57e7-4a59-bd00-15e4a6430847
6091,C000020,74,M,70800,Store T,39290,Utilities,742.96,0,37ba3b27-becd-46aa-8311-5f8753dd91d4
1112,C000021,20,M,11882,Store U,35000,Utilities,648.06,0,1b031f63-6814-46f0-802f-ca155524224c
9716,C000022,18,M,48955,Store V,60703,Jewelry,11254.84,1,727f8074-7bfa-4f77-aef0-7415cdba63dd
8336,C000023,18,M,94195,Store W,43125,Utilities,299.06,0,83d3357a-c5e3-4891-9e12-77515eba6f7c
2917,C000024,56,F,69965,Store X,21638,Clothing,676.0,0,1fcf9df7-f7bd-4277-8590-f320d168c917
6800,C000025,38,F,98794,Store Y,93514,Groceries,808.84,0,d6ad730d-a437-46b3-989c-536b272fa6c6
2104,C000026,62,F,99422,Store Z,64280,Electronics,54.29,0,2696aaab-8157-4d08-8971-a1480c782c0a
8812,C000027,47,M,51560,Store A,67540,Gifts,10698.63,1,389a60df-b9b5-4e07-8232-98aaa359e288
5126,C000028,49,F,41343,Store B,72580,Clothing,357.22,0,0c3bafc9-2a5f-43d2-aeaf-a1efe1c26591
6591,C000029,50,M,93943,Store C,19225,Groceries,563.88,0,4eb6d480-259b-4b49-9d67-1895c32cf2dd
9601,C000030,65,F,13950,Store D,35437,Electronics,122.79,0,02f703e7-1361-4b41-bc5d-38bb24139eca
2922,C000031,39,M,13889,Store E,92268,Luxury,19001.29,1,3ffe5b5e-2c08-424f-b1b5-94100d963f20
4735,C000032,47,F,40410,Store F,38353,Electronics,553.03,0,c132d974-80de-4fdd-819d-35469f97af3a
3374,C000033,71,F,28976,Store G,58531,Dining,924.52,0,dce56cec-863c-455f-8f52-182197a04a42
6755,C000034,63,M,33016,Store H,11658,Dining,818.77,0,fd78ef00-fa5a-450b-aa7c-04f0edef4be7
837,C000035,21,F,84747,Store I,35150,Utilities,199.72,0,9776ebd1-5e39-4c02-aa6b-95c66dfeba41
9778,C000036,40,F,32742,Store J,23315,Utilities,141.02,0,d647aa6f-c45b-476d-a502-a148182478c3
9029,C000037,72,M,33553,Store K,28203,Clothing,862.64,0,25fabdcb-cbb9-4250-8a14-aa7686eb93f8
6708,C000038,61,M,73338,Store L,48649,Gifts,13041.5,1,2a409fe1-8961-4e65-afba-4cad7fed2514
5313,C000039,42,M,39332,Store M,49423,Dining,29.55,0,8432d96e-daee-4e1d-b1b5-39856eb25ffd
9590,C000040,29,M,88625,Store N,73617,Groceries,934.88,0,2d9e72cc-1fb7-4062-9ac8-257bb139ebab
3823,C000041,34,M,14436,Store O,30392,Clothing,478.3,0,4bdd653d-87fc-4b3a-ade3-3e3db9784960
6154,C000042,70,F,27087,Store P,16043,Luxury,9514.04,1,22808d9a-3ace-4a37-8241-964d1414f187
805,C000043,32,M,65702,Store Q,26867,Dining,521.43,0,fa8d2c86-60bf-48d9-acfe-777fb1a8510f
1076,C000044,27,F,35428,Store R,10357,Gifts,17343.78,1,971c90d8-64c5-4857-aa74-1578f1958894
9606,C000045,52,F,84033,Store S,55440,Groceries,119.19,0,15e58faa-4cbd-48c7-8711-4180ae927587
4453,C000046,72,M,38154,Store T,34829,Gifts,10383.99,1,a9aaf2e0-5e91-4264-99f0-012395dc7791
1664,C000047,69,F,54747,Store U,51794,Groceries,325.68,0,2f6fde4e-b6ae-4bc9-bee6-777787ae1f3b
7429,C000048,69,F,44349,Store V,43958,Clothing,841.25,0,ee267876-31d3-4795-98c0-790a1a1e988a
2054,C000049,46,M,79493,Store W,40408,Luxury,16677.01,1,e7fad16f-0356-40e7-add9-cb74fb33365f
2421,C000050,29,F,47358,Store X,36279,Gifts,11001.56,1,3cf6b868-76be-4438-83dc-329f23f31393
2529,C000051,18,M,62484,Store Y,39467,Electronics,667.84,0,3e86b0bd-c224-4f34-aeac-9930c4f8c79d
4318,C000052,18,M,90449,Store Z,65131,Utilities,400.5,0,f1e9fb0b-b066-488a-8c54-8c1d1c30454a
7978,C000053,27,M,60837,Store A,51452,Electronics,575.6,0,96fb634e-4527-4dd5-8036-f4be0a06a23d
