step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
150,C477595630,4,M,28007,M1823072687,28007,transportation,22.19,0
150,C1224153830,4,F,28007,M1823072687,28007,transportation,67.66,0
150,C447736219,4,M,28007,M348934600,28007,transportation,27.6,0
150,C1038722314,4,M,28007,M1823072687,28007,transportation,27.62,0
150,C1501124312,4,M,28007,M85975013,28007,food,58.79,0
150,C54876469,4,M,28007,M1946091778,28007,wellnessandbeauty,36.01,0
150,C1039390058,4,M,28007,M348934600,28007,transportation,14.54,0
150,C229592862,4,F,28007,M1823072687,28007,transportation,22.77,0
150,C1445931696,4,M,28007,M85975013,28007,food,37.22,0
150,C1900716037,4,M,28007,M209847108,28007,wellnessandbeauty,63.71,0
150,C1070277785,4,F,28007,M85975013,28007,food,2.48,0
150,C1341517098,4,F,28007,M1823072687,28007,transportation,21.0,0
150,C1455309687,4,F,28007,M348934600,28007,transportation,5.24,0
150,C1537824739,4,M,28007,M1823072687,28007,transportation,0.72,0
150,C1350068848,4,M,28007,M840466850,28007,tech,90.77,0
150,C1069635670,4,F,28007,M348934600,28007,transportation,50.17,0
150,C1860775846,4,F,28007,M348934600,28007,transportation,14.01,0
150,C1134533551,4,M,28007,M1823072687,28007,transportation,4.5,0
150,C251630036,4,F,28007,M349281107,28007,fashion,69.2,0
150,C251630036,4,F,28007,M1600850729,28007,fashion,106.73,0
150,C489185823,4,F,28007,M348934600,28007,transportation,2.62,0
150,C404075543,4,M,28007,M480139044,28007,health,501.51,1
150,C156263401,4,F,28007,M1823072687,28007,transportation,24.6,0
150,C1258725927,4,M,28007,M45060432,28007,hotelservices,34.39,0
150,C989321907,4,M,28007,M1823072687,28007,transportation,40.93,0
150,C1511148959,4,F,28007,M1823072687,28007,transportation,44.04,0
150,C1297995542,4,F,28007,M1823072687,28007,transportation,18.7,0
150,C129566217,4,M,28007,M1823072687,28007,transportation,32.44,0
150,C1981089677,4,M,28007,M1823072687,28007,transportation,5.56,0
150,C784005201,4,M,28007,M1823072687,28007,transportation,21.69,0
150,C123366357,4,M,28007,M1823072687,28007,transportation,16.53,0
150,C625569664,4,F,28007,M348934600,28007,transportation,13.07,0
150,C1895811684,4,F,28007,M1823072687,28007,transportation,38.51,0
150,C369405043,4,M,28007,M348934600,28007,transportation,2.72,0
150,C1679796651,4,M,28007,M1946091778,28007,wellnessandbeauty,58.09,0
150,C1022530210,4,M,28007,M1823072687,28007,transportation,12.43,0
150,C1209743372,4,F,28007,M348934600,28007,transportation,57.08,0
150,C1209743372,4,F,28007,M1823072687,28007,transportation,81.75,0
150,C545102882,4,F,28007,M1823072687,28007,transportation,23.87,0
150,C1905396523,4,F,28007,M348934600,28007,transportation,14.77,0
150,C369566106,4,M,28007,M348934600,28007,transportation,6.94,0
150,C1897708405,4,M,28007,M348934600,28007,transportation,13.07,0
150,C1630887376,4,F,28007,M348934600,28007,transportation,21.84,0
150,C870367228,4,M,28007,M85975013,28007,food,31.39,0
150,C119537158,4,F,28007,M1823072687,28007,transportation,9.05,0
150,C312072263,4,F,28007,M348934600,28007,transportation,25.45,0
150,C465897830,4,M,28007,M348934600,28007,transportation,45.89,0
150,C1585648581,4,F,28007,M349281107,28007,fashion,30.16,0
150,C1585648581,4,F,28007,M1600850729,28007,fashion,103.06,0
150,C1362652272,4,F,28007,M1823072687,28007,transportation,12.24,0
150,C1080813886,4,M,28007,M692898500,28007,health,92.45,0
150,C813786166,4,F,28007,M348934600,28007,transportation,1.42,0
150,C1930258744,4,M,28007,M348934600,28007,transportation,7.16,0
150,C952397244,4,M,28007,M1823072687,28007,transportation,24.56,0
150,C96407618,4,F,28007,M1823072687,28007,transportation,33.77,0
150,C1082608644,4,F,28007,M1823072687,28007,transportation,11.25,0
150,C1981764666,4,F,28007,M85975013,28007,food,62.16,0
150,C2029865097,4,M,28007,M1823072687,28007,transportation,61.42,0
